flat_name,slug,issue_type,excel_value,db_value,details
K04A302,k04a302,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K05A207,k05a207,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-09-07,"Excel is NULL, but DB has date 2025-09-07"
K05A307,k05a307,AVAILABLE_DATE_MISMATCH,2025-10-19,2024-10-31,"Excel: 2025-10-19, DB: 2024-10-31"
K05A307,k05a307,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K05A307,k05a307,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K05A307,k05a307,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Occupied,"Excel: Occupied & On Notice, DB: Occupied"
K05A307,k05a307,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K05B101,k05b101,AVAILABLE_DATE_MISSING_IN_DB,2025-10-21,NULL,"Excel has date 2025-10-21, but DB is NULL"
K05B101,k05b101,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K05B101,k05b101,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K05B101,k05b101,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Occupied,"Excel: Occupied & On Notice, DB: Occupied"
K05B101,k05b101,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K05C304,k05c304,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K05C304,k05c304,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K05C304,k05c304,OCCUPANCY_STATUS_MISMATCH,Occupied,Occupied & On Notice,"Excel: Occupied, DB: Occupied & On Notice"
K05C304,k05c304,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K05C310,k05c310,AVAILABLE_DATE_MISSING_IN_DB,2025-10-24,NULL,"Excel has date 2025-10-24, but DB is NULL"
K05C310,k05c310,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K05C310,k05c310,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K05C310,k05c310,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Occupied,"Excel: Occupied & On Notice, DB: Occupied"
K05C310,k05c310,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K05C509,k05c509,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K05C509,k05c509,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K05C509,k05c509,OCCUPANCY_STATUS_MISMATCH,Occupied,Occupied & On Notice,"Excel: Occupied, DB: Occupied & On Notice"
